Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
2 or 3 Things I Know About Her,Jean-Luc Godard,France,1967,1960s,1:27,"In 2 OR 3 THINGS I KNOW ABOUT HER (2 OU 3 CHOSES QUE JE SAIS D’ELLE), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker’s finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images. 2 OR 3 THINGS I KNOW ABOUT HER is perhaps Godard’s most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard.",1.45,https://www.criterionchannel.com/2-or-3-things-i-know-about-her,2 or 3 Things I Know About Her 1967,2 or 3 Things I Know About Her 1967,tt0060304,6.8,6576,2 or 3 Things I Know About Her,2 ou 3 choses que je sais d'elle,1967,2 or 3 Things I Know About Her 1967,False
3 Faces,Jafar Panahi,Iran,2018,2010s,1:40,"Iranian master Jafar Panahi’s fourth feature since he was officially banned from filmmaking is a courageous act of antipatriarchal defiance from an artist who has refused to be silenced. This playful docufiction road movie begins with a smartphone video sent to the director and real-life star actress Behnaz Jafari from a desperate young woman who, distraught at her family’s refusal to let her study drama, seemingly records her own suicide. Traveling to the woman’s rural hometown to investigate, Panahi and Jafari find themselves launched on a slyly comic, quietly revelatory journey that builds in narrative, thematic, and visual intricacy to put forth a grand expression of community and solidarity under the eye of oppression.",1.67,https://www.criterionchannel.com/3-faces,3 Faces 2018,3 Faces 2018,tt8269552,7.1,3331,3 Faces,Se rokh,2018,3 Faces 2018,False
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Romania,2007,2000s,1:53,"Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d’Or–winning second feature. In 1987, during the dictatorship of Nicolae Ceaușescu, college roommates Otilia (Anamaria Marinca) and Găbița (Laura Vasiliu) seek an illegal abortion for Găbița. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters’ flawed humanity, 4 MONTHS, 3 WEEKS AND 2 DAYS is a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.",1.88,https://www.criterionchannel.com/4-months-3-weeks-and-2-days,"4 Months, 3 Weeks and 2 Days 2007","4 Months, 3 Weeks and 2 Days 2007",tt1032846,7.9,57029,"4 Months, 3 Weeks and 2 Days","4 luni, 3 saptamâni si 2 zile",2007,"4 Months, 3 Weeks and 2 Days 2007",False
"The VI Olympic Winter Games, Oslo 1952",Tankred Ibsen,Norway,1952,1950s,1:43,"Director Tancred Ibsen's penchant for depicting rustic life shines through in the bucolic scenes at the start of THE VI OLYMPIC WINTER GAMES, OSLO 1952. In addition to the exciting scenes of competition (Winter sports are followed with almost rabid fervor in Scandinavia), Ibsen records a sense of community spirit shared among the competitors.",1.72,https://www.criterionchannel.com/the-vi-olympic-winter-games-oslo-1952,"The VI Olympic Winter Games, Oslo 1952 1952","The VI Olympic Winter Games, Oslo 1952 1952",tt0217126,5.9,48,"The VI Olympic Winter Games, Oslo 1952",De VI olympiske vinterleker Oslo 1952,1952,"The VI Olympic Winter Games, Oslo 1952 1952",False
8½,Federico Fellini,Italy,1963,1960s,2:19,"Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s 8½ (Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for 8½ was THE BEAUTIFUL CONFUSION, and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act.",2.32,https://www.criterionchannel.com/81-2,8½ 1963,8½ 1963,tt0056801,8.0,109896,8½,8½,1963,8½ 1963,False
"IX Olympic Winter Games, Innsbruck 1964",Theo Hörmann,Austria,1964,1960s,1:30,"Joy and good humor pervades Theo Hörmann's documentary record of the 1964 Games in Austria. Shot in Agfacolor, it nurtures a folkloric image of Tyrol, with its quaint mountain farms and obligatory yodeling. Hörmann deploys shots from a helicopter to present the landscape of Tyrol but also to show the skills of the athletes.",1.5,https://www.criterionchannel.com/ix-olympic-winter-games-innsbruck-1964,"IX Olympic Winter Games, Innsbruck 1964 1964","IX Olympic Winter Games, Innsbruck 1964 1964",tt0226800,6.6,36,"IX Olympic Winter Games, Innsbruck 1964",IX. Olympische Winterspiele Innsbruck 1964,1964,"IX Olympic Winter Games, Innsbruck 1964 1964",False
13 Days in France,François Reichenbach…,France,1968,1960s,1:52,"13 DAYS IN FRANCE, a personal project for French filmmaker Claude Lelouch, approaches the X Olympic Winter Games in a radical way, ignoring certain disciplines and dwelling on others. This impressionistic kaleidoscope of a movie manages to be both freewheeling and intimate. Under the direction of Lelouch and François Reichenbach, 13 DAYS IN FRANCE pulses with the insouciant spirit of the sixties and the carefree cinematography and editing pioneered by the French New Wave.",1.87,https://www.criterionchannel.com/13-days-in-france,13 Days in France 1968,13 Days in France 1968,tt0189330,6.7,111,13 Days in France,13 jours en France,1968,13 Days in France 1968,False
XIVth Olympiad: The Glory of Sport,Castleton Knight,United Kingdom,1948,1940s,2:18,"The official film of the Games of the XIV Olympiad London 1948 is the first in color and seeks to comprise both the winter and summer events from that year. The coverage of the sports cannot be faulted, as cinematographer Stanley Sayer marshaled his team of cameramen with a keen eye and deft precision.",2.3,https://www.criterionchannel.com/xivth-olympiad-the-glory-of-sport,XIVth Olympiad: The Glory of Sport 1948,XIVth Olympiad: The Glory of Sport 1948,tt0221719,6.5,77,XIVth Olympiad: The Glory of Sport,XIV Olympiad: The Glory of Sport,1948,XIVth Olympiad: The Glory of Sport 1948,False
16 Days of Glory,Bud Greenspan,United States,1986,1980s,4:44,"Director Bud Greenspan, whose career covering sporting events had begun some twenty years earlier, seized the opportunity to helm the official film of the 1984 Los Angeles Olympics with such gusto that he would become the IOC's go-to person for Olympic movies. And this 284-minute record of the 1984 Games set the tone for his nine Olympic films to come. 16 DAYS OF GLORY is audacious and fresh and springs from a fascination with the energy and ambition that drive the finest athletes.",4.73,https://www.criterionchannel.com/16-days-of-glory,16 Days of Glory 1986,16 Days of Glory 1986,tt0090559,7.5,174,16 Days of Glory,16 Days of Glory,1986,16 Days of Glory 1986,False
24 Frames,Abbas Kiarostami,Iran,2017,2010s,1:53,"For what would prove to be his final film, Iranian director Abbas Kiarostami gave himself a challenge: to create a dialogue between his work as a filmmaker and his work as a photographer, bridging the two art forms to which he had dedicated his life. Setting out to reconstruct the moments immediately before and after a photograph is taken, Kiarostami selected twenty-four still images—most of them stark landscapes inhabited only by foraging birds and other wildlife—and digitally animated each one into its own subtly evolving four-and-a-half-minute vignette, creating a series of poignant studies in movement, perception, and time. A sustained meditation on the process of image making, 24 FRAMES is a graceful and elegiac farewell from one of the giants of world cinema.",1.88,https://www.criterionchannel.com/24-frames,24 Frames 2017,24 Frames 2017,tt6777170,6.8,1537,24 Frames,24 Frames,2017,24 Frames 2017,False
